species_tree_node	event_type	reported_events
F1004511	Terminal	691
F1005962	Terminal	118
F1006475	Terminal	860
F100910	Terminal	1169
F101028	Terminal	35
F101097	Terminal	826
F101098	Terminal	734
F101201	Terminal	100
F1031713	Terminal	2174
F103449	Terminal	297
F1042133	Terminal	151
F1042397	Terminal	61
F104341	Terminal	2806
F104355	Terminal	1297
F104408	Terminal	131
F104669	Terminal	363
F1048519	Terminal	221
F1048829	Terminal	224
F1048955	Terminal	655
F1052096	Terminal	309
F1055551	Terminal	745
F105984	Terminal	624
F106004	Terminal	1163
F1069201	Terminal	634
F1080349	Terminal	27
F1081669	Terminal	448
F1093897	Terminal	157
F1093900	Terminal	564
F1095194	Terminal	124
F109760	Terminal	353
F109876	Terminal	2254
F109889	Terminal	1291
F109899	Terminal	4589
F109932	Terminal	2120
F1099800	Terminal	80
F110093	Terminal	1877
F1116844	Terminal	206
F1117311	Terminal	5431
F112072	Terminal	1701
F1123529	Terminal	2261
F112417	Terminal	8254
F1125753	Terminal	214
F1130053	Terminal	426
F113071	Terminal	7476
F1141098	Terminal	239
F114524	Terminal	88
F114525	Terminal	112
F1145299	Terminal	148
F1145321	Terminal	154
F116603	Terminal	2011
F116794	Terminal	274
F116821	Terminal	477
F116982	Terminal	279
F117179	Terminal	655
F117187	Terminal	138
F1174673	Terminal	1115
F1176130	Terminal	462
F1176355	Terminal	1337
F120017	Terminal	1037
F1209916	Terminal	54
F1209934	Terminal	156
F1213189	Terminal	2156
F1214568	Terminal	437
F121624	Terminal	606
F1217826	Terminal	102
F1220207	Terminal	353
F122368	Terminal	727
F1230402	Terminal	1425
F1243177	Terminal	5836
F1246581	Terminal	377
F1269715	Terminal	598
F1276059	Terminal	1153
F1280837	Terminal	589
F1286916	Terminal	220
F129515	Terminal	218
F1300064	Terminal	479
F1314805	Terminal	1975
F1323573	Terminal	926
F1328300	Terminal	238
F13290	Terminal	291
F13291	Terminal	359
F1331295	Terminal	9018
F133377	Terminal	959
F133385	Terminal	1505
F1341166	Terminal	413
F1343610	Terminal	1441
F1343614	Terminal	354
F1348612	Terminal	15521
F13502	Terminal	128
F135208	Terminal	2465
F135589	Terminal	2269
F136370	Terminal	833
F139363	Terminal	8157
F1396493	Terminal	880
F1397036	Terminal	141
F1419009	Terminal	2758
F1424756	Terminal	289
F143232	Terminal	1247
F1440133	Terminal	1622
F144530	Terminal	1994
F144538	Terminal	1308
F144539	Terminal	1298
F144679	Terminal	2128
F1453789	Terminal	272
F1453791	Terminal	70
F145971	Terminal	455
F1463510	Terminal	191
F147570	Terminal	831
F147573	Terminal	555
F148304	Terminal	307
F148305	Terminal	514
F148313	Terminal	250
F1498855	Terminal	1126
F1500003	Terminal	2163
F1504668	Terminal	390
F1506992	Terminal	1792
F1507870	Terminal	8312
F1507873	Terminal	227
F150792	Terminal	5528
F1520584	Terminal	755
F1522189	Terminal	97
F152956	Terminal	4020
F1540922	Terminal	92
F1542792	Terminal	202
F1555241	Terminal	324
F156515	Terminal	7644
F1569628	Terminal	236
F157183	Terminal	310
F158046	Terminal	64
F1590129	Terminal	246
F1604274	Terminal	4476
F162425	Terminal	196
F164576	Terminal	209
F164912	Terminal	635
F1658444	Terminal	298
F1670608	Terminal	138
F1671311	Terminal	271
F1673888	Terminal	123
F1682393	Terminal	2064
F1684307	Terminal	167
F1690604	Terminal	171
F1690608	Terminal	370
F169141	Terminal	1011
F170000	Terminal	10461
F170446	Terminal	17742
F1708541	Terminal	75
F1708542	Terminal	67
F1712513	Terminal	599
F173216	Terminal	27
F1738374	Terminal	38
F174425	Terminal	162
F174680	Terminal	572
F174688	Terminal	988
F1750568	Terminal	6585
F1754190	Terminal	862
F1754191	Terminal	1569
F1754192	Terminal	2328
F1759441	Terminal	14827
F177197	Terminal	356
F177199	Terminal	48
F1774096	Terminal	1275
F1806994	Terminal	525
F1810926	Terminal	205
F1810928	Terminal	152
F181123	Terminal	123653
F1814901	Terminal	383
F182096	Terminal	642
F1825666	Terminal	2352
F183962	Terminal	631
F1851185	Terminal	884
F1851187	Terminal	1284
F1858805	Terminal	996
F1859096	Terminal	11
F1859121	Terminal	47
F1859122	Terminal	59
F1882483	Terminal	149
F1890679	Terminal	174
F1897645	Terminal	1176
F1904413	Terminal	2827
F1907219	Terminal	211
F1912936	Terminal	2053
F1912939	Terminal	3582
F1938712	Terminal	6285
F1938954	Terminal	409
F1940652	Terminal	317
F195108	Terminal	302
F199306	Terminal	191
F2019550	Terminal	1113
F2020955	Terminal	1603
F2020962	Terminal	34
F2024903	Terminal	29
F202697	Terminal	4127
F202698	Terminal	2196
F2034170	Terminal	28
F203533	Terminal	4058
F2035830	Terminal	1329
F203908	Terminal	6948
F2082308	Terminal	61
F208348	Terminal	3668
F208960	Terminal	2108
F209136	Terminal	392
F209281	Terminal	687
F2109901	Terminal	694
F215250	Terminal	345
F215637	Terminal	805
F223192	Terminal	89
F223376	Terminal	100
F223409	Terminal	47
F223818	Terminal	75
F226899	Terminal	109
F2268995	Terminal	509
F2282107	Terminal	1388
F2283408	Terminal	228
F230603	Terminal	69
F231932	Terminal	3722
F2340872	Terminal	907
F235537	Terminal	1910
